calendar_yr	customer_cd	master_customer_nm	LTOWB	RBC	PLTS
2024	N006B8HGEN	HARBOR UCLA MEDICAL CENTER	10	190	50
2025	N0025429	AIR METHODS - PARSONS	22	40	
2024	N022SCHB	ST CHRISTOPHER'S HOSP FOR CHILDREN/ TOWER HEALTH SYSTEM	19	1367	560
2023	N0065002	AIR METHODS VICTORVILLE	5	83	
2020	N022NJSTJH	ST. JOSEPH'S UNIVERSITY MEDICAL CENTER	4	8660	1511
2025	N001AM007	AIR METHODS POTSDAM	22	37	
2025	N022CHL	CHILDREN'S HOSPITAL OF PHILADELPHIA	2	13764	6670
2025	N011B1BARN	BARNES-JEWISH HOSPITAL	659	44117	14718
2023	N003B2GWMD	NORTHSIDE HOSPITAL - GWINNETT	2	10683	1999
2023	N020B5STAH	SAINT ALPHONSUS MEDICAL GROUP NAMPA	4	1057	251
2025	N0207805	AIR METHODS - SALMON	14	33	
2024	N012AM001	AIR METHODS LUMBERTON	30	72	
2024	N001B1AMCH	ALBANY MEDICAL CENTER HOSPITAL	77	16329	4151
2025	N038B7VERN	VERNON TOWNSHIP FIRE DEPARTMENT	5	6	
2024	N007OR3781	PHI ORACLE AZ	4	6	
2024	N022ATL	ATLANTICARE REG MED CTR-CITY CAMPUS	28	2787	446
2025	N040B0ADVC	ADVOCATE CHRIST MEDICAL CENTER	153	19593	3251
2024	N0075241	AIR METHODS-WESTFIELD	16	31	
2023	N020LVMCFH	MIKE OCALLAGHAN FEDERAL HOSPITAL	1	76	7
2025	N001AM012	AIR METHODS WALLKILL	28	66	
2025	N011B9OVER	OVERLAND PARK REGIONAL MEDICAL CENTER	32	2556	562
2023	N022XAD	NEMOURS CHILDREN'S HOSPITAL	2	16	351
2023	N003B1KENN	WELLSTAR KENNESTONE HOSPITAL	2	15907	2239
2025	N0025430	AIR METHODS EMPORIA	18	35	
2024	N024000425	UNIVERSITY OF LOUISVILLE HOSPITAL ULH	940	10193	3094
2024	N0065005	AIR METHODS OCEANSIDE	34	54	
2025	N600CRTC	COMPONENT RECONCILIATION CUSTOMER	1	133	13
2025	N0122540	MUSC HEALTH LANCASTER MEDICAL CENTER	44	2190	161
2025	N0115401	AIR METHODS GRANITE CITY	47	92	
2025	N049T0062C	BAYLOR UNIVERSITY MEDICAL CTR AT DALLAS	343	17677	6998
2024	N030B31001	GUTHRIE ROBERT PACKER HOSPITAL	33	4615	1270
2024	N024AIRMET	AIR METHODS GLASGOW	24	53	
2025	N022LOL	VIRTUA HEALTH CAMDEN	44	5328	1159
2024	N0217501	AIR METHODS SILVER CITY	15	40	
2025	N0205178	AIR METHODS- OGDEN	22	29	
2024	N0217510	AIR METHODS CARLSBAD RW	16	32	
2022	N035CCLB	CARILION CONSOLIDATED LABS	11	11751	2668
2025	N022NJCITY	JERSEY CITY MEDICAL CENTER	58	5810	603
2024	N006BNCEVC	CENTINELA HOSPITAL MEDICAL CENTER	1	3199	406
2024	N006BZPKVW	DOCTORS HOSPITAL OF RIVERSIDE	1	1338	115
2025	N007SV3769	PHI SIERRA VISTA HOSPITAL AZ	7	21	
2025	N038B6LUTH	LUTHERAN HOSPITAL OF INDIANA	381	6683	1413
2025	N041ATUSFR	TUSCALOOSA FIRE RESCUE	334	406	
