Customer Id	Master Customer Cd	Master Customer Nm	Addr1	City	State	Zip	Customer Integration Customer Class Dsc	trauma_ctr_flg	Customer Class Dsc
B5WTPT	N009B5WTPT	FRANCISCAN HEALTHCARE	430 N MONITOR	WEST POINT	NE	68788	Hospital                                	N	Hospital Customer
000   	N016OSUD39	OSU-DEPT OF INTERNAL MEDICINE-GARZON					Other                                   	N	EO-Emerging Offerings
7604  	N0097604	AIR METHODS SIOUX CITY					Air Ambulance                           	N	Hospital Customer
000   	N001N4LXHH	LENOX HILL HOSPITAL-NEW YORK					Hospital                                	N	Hospital Out of Region
000   	N011B9SLNH	SAINT LUKES NORTH HOSPITAL BARRY ROAD CAMPUS					Hospital                                	N	Hospital Customer
UAETCO	N007UAETCO	U OF A DEPT OF ENTOMOLOGY-DR FORBES	1140 E SOUTH CAMPUS	TUCSON	AZ	85721	Other                                   	N	Miscellaneous
001250	N001001250	CORNING HOSPITAL	THE GUTHRIE CLINIC	SAYRE	PA	18840	Hospital                                	N	Hospital in Region
BYM   	N022BYM	BRYN MAWR HOSPITAL	C/O LANKENAU HOSPITAL	WYNNEWOOD	PA	19096	Hospital                                	N	Hospital in Region
000   	N027HLBVMI	HEART LUNG & BLOOD VASCULAR MED INST					Other                                   	N	Researchers
CTY015	N016CTY015	SHELBY HOSPITAL	335 GLESSNER AVE	MANSFIELD	OH	44903	Hospital                                	N	Hospital Customer
B1HSCS	N001B1HSCS	SUNY UPSTATE UNIV HOSP DOWNTOWN CAMPUS					Hospital                                	Y	Hospital in Region
8911  	N0048911	PARKVIEW  MEDICAL CENTER					Hospital                                	N	Hospital Out of Region
IRL011	N600IRL011	ARCIRL-MISSOURI-ILLINOIS	13610 RIVERPORT DR STE B	MARYLAND HEIGHTS	MO	63043	American Red Cross                      	N	Internal Location
B17052	N002B17052	PHILLIPS COUNTY HOSPITAL	1150 STATE STREET	PHILLIPSBURG	KS	67661	Hospital                                	N	Hospital Customer
000   	N007GALJHP	JH- AMERICAN INDIAN SITE- GALLOP					Other                                   	N	Hospital Customer
5235  	N0075235	AIR METHODS - YUMA					Air Ambulance                           	N	Unclassified
109750	N019058000	VANDERBILT UNIVERSITY MEDICAL CENTER					Hospital                                	Y	Plasma Frac-Non ARC
RDSYS 	N088RDSYS	R & D SYSTEMS INC	614 MCKINLEY PLACE NE	MINNEAPOLIS	MN	55413	Other                                   	N	EO-Hub Accts
000   	N049T0010J	HAMILTON GENERAL HOSPITAL					Hospital                                	N	Hospital Customer
T0150G	N049T0150G	HOUSTON METHODIST HOSPITAL TMC	6565 FANNIN STREET, B154	HOUSTON	TX	77030	Hospital                                	N	Hospital Customer
1039  	N0041039	MASSACHUSETTS GENERAL HOSPITAL	55 FRUIT STREET	BOSTON	MA	02114	Hospital                                	Y	Hospital in Region
A10142	N041A10142	ENCOMPASS HEALTH LAKESHORE REHABILITATION HOSPITAL	3800 RIDGEWAY DRIVE	BIRMINGHAM	AL	35209	Hospital                                	N	Hospital Customer
001360	N024001360	GIBSON DEACONESS GENERAL HOSPITAL	1808 SHERMAN DRIVE	PRINCETON	IN	47670	Hospital                                	N	Hospital Customer
PAYN  	N017PAYN	CENTRACARE HEALTH-PAYNESVILLE	1406 6TH AVENUE NORTH	ST CLOUD	MN	56303	Hospital                                	N	Hospital Customer
000   	N049T6002T	HCA 24 HOUR ER AT FAIRMONT					Other                                   	N	Hospital Customer
N1UNVA	N035N1UNVA	UNIVERSITY OF VIRGINIA MEDICAL CENTER	PO BOX 800286	CHARLOTTESVILLE	VA	22908-0286	Hospital                                	Y	Hospital Out of Region
003200	N019003200	ST THOMAS MIDTOWN HOSPITAL	2000 CHURCH STREET	NASHVILLE	TN	37236	Hospital                                	N	Hospital Customer
T0013T	N049T0013T	MEDICAL CITY LEWISVILLE	1151 ENTERPRISE DRIVE	COPPELL	TX	75019	Hospital                                	N	Hospital Customer
001230	N001001230	CLIFTON SPRINGS HOSPITAL	2 COULTER ROAD	CLIFTON SPRINGS	NY	14432	Hospital                                	N	Hospital in Region
MERCY 	N017MERCY	MERCY HOSPITAL	ALLINA MEDICAL LABORATORIES	MINNEAPOLIS	MN	55407-1321	Hospital                                	Y	Hospital Customer
000   	N04900076D	CANCER TREATMENT CENTERS OF AMERICA					Hospital                                	N	Hospital Customer
2035  	N0122035	VA MEDICAL CENTER - SALISBURY	DEPT OF VA, FINANCIAL SVCS CTR	AUSTIN	TX	78714-8971	Government                              	N	Hospital Customer
B1STNY	N001B1STNY	STONY BROOK UNIVERSITY MEDICAL CENTER	EAST LOOP ROAD	STONY BROOK	NY	11794-9115	Hospital                                	Y	Hospital in Region
000   	N04900063D	BRISTOW MEDICAL CENTER					Hospital                                	N	Hospital in Region
000   	N049T0179J	CHARLTON METHODIST HOSPITAL					Hospital                                	N	Hospital Customer
RMMC  	N017RMMC	UNIVERSITY OF MINNESOTA MASONIC CHILDRENS HOSPITAL					Hospital                                	Y	Hospital Customer
000   	N088LOCH	LABORATORY OF CELLULAR HEMATOLOGY					Plug Value                              	N	Hospital Customer
000   	N084UCSFPA	UCSF MEDICAL CENTER	505 PARNUSS AVE	SAN FRANCISCO	CA	94143	Hospital                                	N	Hospital Customer
001590	N024001590	WABASH CO GENERAL HOSPITAL	1418 COLLEGE DRIVE	MOUNT CARMEL	IL	62863	Hospital                                	N	Hospital Customer
12028 	N02912028	SOUTHAMPTON MEMORIAL HOSPITAL	100 FAIRVIEW DRIVE	FRANKLIN	VA	23851	Hospital                                	N	Hospital Customer
C0022A	N042C0022A	UH RICHMOND MEDICAL CENTER	UNIVERSITY HOSPITALS	SHAKER HEIGHTS	OH	44120	Hospital                                	N	Hospital in Region
LVHEND	N020LVHEND	HENDERSON HOSPITAL MEDICAL CENTER	1050 W GALLERIA DRIVE	HENDERSON	NV	89011	Hospital                                	N	Hospital Customer
5002  	N0065002	AIR METHODS VICTORVILLE					Air Ambulance                           	N	Unclassified
B1ANME	N036B1ANME	ANMED HEALTH MEDICAL CENTER	800 NORTH FANT STREET	ANDERSON	SC	29621	Hospital                                	N	Hospital Customer
000   	N017NM088	NORTH MEMORIAL HEALTH - ROBBINSDALE HOSPITAL					Hospital                                	Y	Hospital Customer
ORTN  	N017ORTN	ORTONVILLE AREA HEALTH SERVICES	450 EASTVOLD AVENUE	ORTONVILLE	MN	56278	Hospital                                	N	Hospital Customer
SUMMIT	N027SUMMIT	SUMMIT HEALTH CHAMBERSBURG	785 5TH AVE	CHAMBERSBURG	PA	17201-4232	Hospital                                	N	Hospital in Region
B1BGNH	N001B1BGNH	BUFFALO GENERAL MEDICAL CENTER	726 EXCHANGE STREET	BUFFALO	NY	14210	Hospital                                	Y	Hospital in Region
B3SAD2	N054B3SAD2	HOSPITAL DAMAS INC	2213 PONCE BY PASS	PONCE	PR	00717-1318	Hospital                                	N	Hospital in Region
1047  	N0041047	MOUNT AUBURN HOSPITAL	330 MOUNT AUBURN STREET	CAMBRIDGE	MA	02138	Hospital                                	N	Hospital in Region
B0FRED	N053B0FRED	FREDERICK HEALTH HOSPITAL	400 WEST 7TH STREET	FREDERICK	MD	21701	Hospital                                	N	Others
B5PALM	N003B5PALM	PHOEBE NORTH	PO BOX 31248	SALT LAKE CITY	UT	84131	Hospital                                	N	Hospital Customer
7336  	N0047336	CONCORD HOSPITAL	250 PLEASANT STREET	CONCORD	NH	03301	Hospital                                	Y	Hospital in Region
000   	N011B8LOGH	LAKE REGIONAL HEALTH SYSTEM					Hospital                                	N	Hospital Customer
000   	N02920090	WASHINGTON COUNTY HOSPITAL-PLYMOUTH	1 MEDICAL PLAZA	PLYMOUTH	NC	27962	Hospital                                	N	Hospital Customer
C00028	N042C00028	SOUTHWEST GENERAL HOSPITAL	18697 BAGLEY ROAD	MIDDLEBURG HEIGHTS	OH	44130	Hospital                                	Y	Hospital Customer
151   	N003201	ONE BLOOD CENTER	8669 COMMODITY CIRCLE	ORLANDO	FL	32819	Non RC Blood Center                     	N	Non RC Blood Centers
9718  	N0049718	NASHOBA VALLEY MEDICAL CENTER					Hospital                                	N	Hospital Customer
1143  	N0031143	ST JOSEPH'S HOSPITAL-SAVANNAH	5353 REYNOLDS STREET	SAVANNAH	GA	31405	Hospital                                	N	Hospital Customer
B4KAHA	N084B4KAHA	KAISER - SAN LEANDRO	2500 MERCED STREET	SAN LEANDRO	CA	94577	Hospital                                	N	Hospital Customer
009140	N024009140	FRANKFORT REGIONAL MEDICAL CENTER	299 KINGS DAUGHTERS DRIVE	FRANKFORT	KY	40601	Hospital                                	N	Hospital Customer
B0GVET	N054B0GVET	SAN JUAN VETERANS AFFAIRS MEDICAL CENTER	PO BOX 366046	SAN JUAN	PR	00936-6046	Government                              	N	Military Hospital
BGD   	N088BGD	CAVALIER LOGISTICS					Other                                   	N	EO-Hub Accts
P00630	N021P00630	CASCADE REGIONAL BLOOD SERVICES	PO BOX 2113	TACOMA	WA	98401	Non RC Blood Center                     	N	Community Blood Bank
000   	N011B4ICMC	IRON COUNTY HOSPITAL					Hospital                                	N	Hospital Out of Region
B1ATMC	N003B1GABH	WELLSTAR ATLANTA MEDICAL CENTER					Hospital                                	Y	Hospital Customer
000   	N022REPAMC	PALL MEDICAL CORPORATION					Commercial / Residential                	N	Destruction Customer
160   	N016160	HOXWORTH BLOOD CENTER	3130 HIGHLAND AVE-ML 0055	CINCINNATI	OH	45267	Non RC Blood Center                     	N	Hospital Customer
AM008 	N001AM008	AIR METHODS SELKIRK					Air Ambulance                           	N	Unclassified
B1WELC	N035B1WELC	WELCH COMMUNITY HOSPITAL	454 MCDOWELL STREET	WELCH	WV	24801	Hospital                                	N	Hospital Customer
7308  	N0047308	COTTAGE HOSPITAL	90 SWIFTWATER ROAD	WOODSVILLE	NH	03785	Hospital                                	N	Hospital in Region
5121  	N0125121	NOVANT HEALTH HUNTERSVILLE MEDICAL CENTER					Hospital                                	N	Hospital in Region
129   	N084129	CENTRAL CALIFORNIA BLOOD CENTER	4343 W HERNDON AVE	FRESNO	CA	93722	Non RC Blood Center                     	N	Community Blood Bank
NYHQNS	N001NYHQNS	NEW YORK HOSPITAL QUEENS	5645 MAIN STREET	FLUSHING	NY	11355	Hospital                                	N	Hospital Out of Region
75004 	N02975004	BON SECOURS MEMORIAL REGIONAL MEDICAL CENTER	PO BOX 6189	ELLICOTT CITY	MD	21042	Hospital                                	N	Hospital in Region
B13265	N002B13265	UNIVERSITY OF KANSAS HEALTH SYSTEM - GREAT BEND CAMPUS	514 CLEVELAND	GREAT BEND	KS	67530	Hospital                                	N	Hospital in Region
P00412	N021P00412	COLUMBIA MEMORIAL HOSPITAL	2111 EXCHANGE STREET	ASTORIA	OR	97103	Hospital                                	N	Hospital Customer
ACSHO 	N084ACSHO	ALAMEDA COUNTY SHERIFFS OFFICE	4985 BRODER BLVD	DUBLIN	CA	94568	Other                                   	N	Researchers
000   	N027B8ELWD	ELLWOOD CITY MEDICAL CENTER					Hospital                                	N	Hospital in Region
125   	N016125	COMMUNITY BLOOD CENTER-DAYTON	1300 DIVISION RD STE 102	WEST WARWICK	RI	02893	Non RC Blood Center                     	N	Hospital Customer
000   	N017RS157D	NORTHWESTERN UNIVERSITY ALLERGY & IMMUN					Other                                   	N	EO-Emerging Offerings
000   	N016ELI	ELI LILLY	DO NOT MAIL	CHARLOTTE	NC	28273	Other                                   	N	Hospital in Region
P00301	N021P00301	TUALITY COMMUNITY HOSPITAL	PO BOX 309	HILLSBORO	OR	97123	Hospital                                	N	Hospital Customer
B3THMC	N006B4THMC	FOOTHILL REGIONAL MEDICAL CENTER-TUSTIN	3415 SOUTH SEPULVEDA BLVD	LOS ANGELES	CA	90034	Hospital                                	N	Hospital Customer
CHL   	N022CHL	CHILDREN'S HOSPITAL OF PHILADELPHIA	PO BOX 2015	SECAUCUS	NJ	07096-2015	Hospital                                	N	Hospital in Region
BARR  	N017BARR	MAYO CLINIC HEALTH SYSTEM NORTHLAND	1222 E WOODLAND AVENUE	BARRON	WI	54812	Hospital                                	N	Hospital Customer
000   	N040B4KKKS	PROVENA ST MARY'S HOSPITAL					Hospital                                	N	Hospital Customer
70MMRM	N01870MMRM	MID-MICHIGAN REGIONAL MEDICAL CENTER	4005 ORCHARD DRIVE	MIDLAND	MI	48640	Hospital                                	N	Hospital Customer
B1FFAX	N053B1FFAX	INOVA FAIRFAX HOSPITAL	INOVA HEALTH SYSTEM	FAIRFAX	VA	22031	Hospital                                	Y	Hospital Customer
HDSN  	N017HDSN	HUDSON HOSPITAL & CLINIC	PO BOX 9480	MINNEAPOLIS	MN	55440	Hospital                                	N	Hospital Customer
000   	N042C00016	LAKEWOOD HOSPITAL					Hospital                                	N	Hospital Customer
NNJCLA	N022NNJCLA	CLARA MAASS MEDICAL CENTER	PO BOX 519	WEST LONG BRANCH	NJ	07764	Hospital                                	N	Hospital Out of Region
B1KIND	N011B1KIND	KINDRED HOSPITAL ST LOUIS	PO BOX 740054	LOUSIVILLE	KY	40201	Hospital                                	N	Hospital Customer
B3FIVE	N055B3FIVE	ST BERNARDS FIVE RIVERS MEDICAL CENTER	2801 MEDICAL CENTER DR	POCAHONTAS	AR	72455	Hospital                                	N	Hospital Customer
000   	N013B2SMAC	ST JOHN DETROIT-MACOMB CAMPUS-WARREN					Hospital                                	N	Hospital Customer
000   	N053B0CRHC	U OF M SHORE MED CTR AT CHESTERTOWN					Hospital                                	N	Hospital Out of Region
R1SPDA	N036R1SPDA	S PANDRUVADA-MUSC	173 ASHLEY AVE	CHARLESTON	SC	29425	Other                                   	N	EO-Emerging Offerings
B7RILE	N038B7RILE	METHODIST HOSPITAL	C/O IU HLTH RILEY HOSP FOR CHN	INDIANAPOLIS	IN	46202	Hospital                                	N	Hospital Customer
A45018	N041A45018	VA MEDICAL CENTER-MONTGOMERY	215 PERRY HILL ROAD	MONTGOMERY	AL	36109	Government                              	N	VA Hospital
LVHDC 	N022LVHDC	LEHIGH VALLEY HOSPITAL - DICKSON CITY	PO BOX 1110	ALLENTOWN	PA	18105	Hospital                                	N	Hospital Customer
000   								N	Hospital Customer
B0SNAI	N053B0SNAI	SINAI HOSPITAL-BALTIMORE	2401 WEST BELVEDERE AVENUE	BALTIMORE	MD	21215	Hospital                                	Y	Hospital Customer
B4THMC	N006B4THMC	FOOTHILL REGIONAL MEDICAL CENTER-TUSTIN					Hospital                                	N	Hospital Customer
2345  	N0122345	CENTRAL CAROLINA HOSPITAL	C/O LIFEPOINT	NASHVILLE	TN	37228	Hospital                                	N	Hospital Customer
000   	N04900038D	SAINT FRANCIS HOSPITAL VINITA					Hospital                                	N	Hospital Customer
50231 	N02950231	EASTERN LABORATORY -  VA DEPARTMENT OF FORENSIC SCIENCE					Commercial / Residential                	N	Plasma Frac-Non ARC
8913  	N0048913	RUBIN LAB-HARVARD UNV					Other                                   	N	Hospital Out of Region
T6800T	N049T6800T	MEDICAL CITY LAS COLINAS					Hospital                                	N	Hospital Customer
BZRIVE	N006BZRIVE	RIVERSIDE COMMUNITY HOSPITAL	PO BOX 788	KAYSVILLE	UT	84037	Hospital                                	Y	Hospital in Region
LVQUES	N020LVQUES	QUEST DIAGNOSTICS	4230 BURNHAM AVENUE	LAS VEGAS	NV	89119	Commercial / Residential                	N	Commercial Labs
5222  	N0045222	REDINGTON-FAIRVIEW HOSPITAL	PO BOX 468	SKOWHEGAN	ME	04976	Hospital                                	N	Hospital in Region
6602  	N0176602	AIR METHODS BLACK HILLS LIFE FLIGHT - FIXED WING					Air Ambulance                           	N	Unclassified
7041  	N0337041	JOHN DEMPSEY HOSPITAL- UCONN HC	263 FARMINGTON AVE	FARMINGTON	CT	06030	Hospital                                	N	Hospital in Region
P00411	N021P00411	OCEAN BEACH HOSPITAL	174 1ST AVENUE N	ILWACO	WA	98624	Hospital                                	N	Hospital Customer
B1MFSH	N001B1MFSH	MILLARD FILLMORE SUBURBAN HOSPITAL	726 EXCHANGE STREET	BUFFALO	NY	14210	Hospital                                	N	Hospital in Region
000   	N012012	ARCBS-CAROLINAS REGION					American Red Cross                      	N	Internal Location
5206  	N0075206	AIR METHODS RIO RICO					Air Ambulance                           	N	Unclassified
B1HLFX	N035B1HLFX	HALIFAX REGIONAL HOSPITAL	SENTARAHEALTH	NORFOLK	VA	23501	Hospital                                	N	Hospital Customer
A46010	N041A46010	MERIT HEALTH NATCHEZ	54 SGT S PRENTISS DRIVE	NATCHEZ	MS	39120	Hospital                                	N	Hospital Customer
AENRGM	N041AENRGM	ENTERPRISE RESCUE GROUND MONROEVILLE					Air Ambulance                           	N	Hospital Customer
37600 	N019037600	MAURY REGIONAL HOSPITAL					Hospital                                	N	Hospital Customer
BSTOW 	N006BSTOW	BARSTOW COMMUNITY HOSPITAL	820 E MOUNTAIN VIEW STREET	BARSTOW	CA	92311	Hospital                                	N	Hospital Customer
B41001	N030B41001	COMMONWEALTH HEALTH EMERGENCY AND OUTPATIENT SERVICES TUNKHANNOCK	88O SR 6 W	TUNKHANNOCK	PA	18657	Hospital                                	N	Hospital in Region
A10026	N041A10026	BIBB MEDICAL CENTER	208 PIERSON AVE	CENTREVILLE	AL	35042	Hospital                                	N	Hospital Customer
B5MABR	N011B5MABR	MARSHALL BROWNING HOSPITAL	900 NORTH WASHINGTON STREET	DU QUOIN	IL	62832	Hospital                                	N	Hospital Customer
80250 	N02980250	PUNGO DISTRICT HOSPITAL					Hospital                                	N	Hospital in Region
B0HSRH	N054B0HSRH	ENCOMPASS HEALTH REHABILITATION HOSPITAL	PO BOX 70344	SAN JUAN	PR	00936	Hospital                                	N	Hospital Out of Region
000   	N006B6CITA	LA DOWNTOWN MEDICAL CENTER LLC					Hospital                                	N	Hospital Customer
000   	N032B0COVT	MERCYONE- WATERLOO					Hospital                                	Y	Hospital Customer
P00004	N021P00004	LEGACY GOOD SAMARITAN HOSPITAL AND MEDICAL CENTER	C/O LEGACY EMANUEL HOSPITAL	PORTLAND	OR	97227-1623	Hospital                                	N	Hospital Customer
B6PSCR	N054B6PSCR	JUAN F LUIS HOSPITAL	4007 EAST DIAMOND RUBY	ST CROIX	VI	00820	Hospital                                	N	Hospital Customer
000   	N022XBB	BEEBE HEALTHCARE					Hospital                                	N	Hospital Out of Region
B7UWAC	N032B7UWAC	EAST MADISON HOSPITAL UW HEALTH					Hospital                                	N	Hospital Customer
JACKFL	N003JACKFL	JACKSON MEMORIAL HOSPITAL					Hospital                                	N	Hospital Customer
000   	N001B2LUKE	FAXTON-ST LUKES HLTHCARE-ST LUKES CAMPUS					Hospital                                	N	Hospital in Region
B1GMRW	N002B1GMRW	GLOBAL MEDICAL RESPONSE WICHITA					Air Ambulance                           	N	Hospital Customer
75006 	N02975006	SENTARA MARTHA JEFFERSON HOSPITAL	500 MARTHA JEFFERSON DRIVE	CHARLOTTESVILLE	VA	22911	Hospital                                	N	Hospital Customer
7349  	N0047349	FRISBIE HOSPITAL	DEPT OF HEMATOLOGY-ONCOLOGY	ROCHESTER	NH	03867	Hospital                                	N	Hospital in Region
BRCRMC	N006BRCRMC	CORONA REGIONAL MEDICAL CENTER	PO BOX 890400	TEMECULA	CA	92589	Hospital                                	N	Hospital in Region
B0NWVW	N040B0NWVW	NORTHWESTERN MEDICINE VALLEY WEST	1302 N MAIN ST	SANDWICH	IL	60548	Hospital                                	N	Hospital Customer
B1ELCA	N084B1ELCA	EL CAMINO HOSPITAL	2500 GRANT ROAD	MOUNTAIN VIEW	CA	94040	Hospital                                	N	Hospital Customer
SUB   	N022SUB	SUBURBAN COMMUNITY HOSPITAL	2701 DEKALB PIKE	EAST NORRITON	PA	19401	Hospital                                	N	Hospital in Region
106   	N006106	BLOOD BANK OF HAWAII	2043 DILLINGHAM BLVD	HONOLULU	HI	96819	Non RC Blood Center                     	N	Community Blood Bank
000   	N041A46008	NORTH MISSISSIPPI MEDICAL CENTER GILMORE AMORY					Hospital                                	N	Hospital Customer
WUSLBC			MCDONNELL MED SVCS BDG RM 554	SAINT LOUIS	MO	63110		N	EO-Emerging Offerings
62200 	N019062200	WILLIAMSON COUNTY HOSPITAL DISTRICT					Hospital                                	N	Hospital Customer
3293  	N0123293	FLORDIA BLOOD CENTERS					Non RC Blood Center                     	N	Non RC Blood Centers
B2BNDT	N001B2BNDT	HEALTH ALLIANCE HOSPITAL: MARY'S AVENUE CAMPUS	396 BROADWAY	KINGSTON	NY	12401	Hospital                                	N	Hospital in Region
EL3785	N007EL3785	PHI ELOY AZ					Air Ambulance                           	N	Hospital Customer
COL013	N016COL013	RIVERSIDE METHODIST HOSPITAL	3535 OLENTANGY RIVER RD	COLUMBUS	OH	43214	Hospital                                	Y	Hospital Customer
5110  	N0045110	MILES MEMORIAL HOSPITAL					Hospital                                	N	Hospital in Region
000   	N055B2MARY	RUSSELLVILLE HOLDINGS, LLC					Hospital                                	N	Hospital Customer
B3AUBM	N001B3AUBM	AUBURN COMMUNITY HOSPITAL	17 LANSING STREET	AUBURN	NY	13021	Hospital                                	N	Hospital in Region
7119  	N0047119	GIFFORD HOSPITAL	PO BOX 2000	RANDOLPH	VT	05060	Hospital                                	N	Hospital in Region
000   	N040B14STJ	OSF SAINT JOSEPH MEDICAL CENTER					Hospital                                	Y	Hospital Customer
B1MTNV	N020B1MTNV	MOUNTAIN VIEW HOSPITAL - IDAHO FALLS	2325 CORONADO STREET	IDAHO FALLS	ID	83404	Hospital                                	N	Hospital in Region
B9CMMC	N020B9CMMC	CENTRAL MONTANA MEDICAL CENTER	408 WENDELL AVENUE	LEWISTOWN	MT	59457	Hospital                                	N	Hospital Customer
B3AEBL	N055B3AEBL	AIR EVAC LIFESTREAM 113 - BLYTHEVILLE					Air Ambulance                           	N	Hospital Customer
B3ROAK	N009B3ROAK	MONTGOMERY CO MEMORIAL HOSPITAL	2301 EASTERN AVENUE	RED OAK	IA	51566	Hospital                                	N	Hospital Customer
12019 	N02912019	BON SECOURS MARY IMMACULATE HOSPITAL	C/O BON SECOURS HEALTH SYS INC	ELLICOTT CITY	MD	21042-6758	Hospital                                	N	Hospital Customer
