Master Customer Cd	hospital	Customer Class Dsc	Competitor Txt	Bed Cnt	Surgeries Cnt	Territory Dsc	Physical City name	Physical state code	Physical ZIP code	FIPS	latitude	longitude	HS Region	HS division	cancer_ctr_flg	trauma_ctr_flg	Percent ARC	Customer Integration Customer Class Dsc
N006B8HGEN	HARBOR UCLA MEDICAL CENTER	Hospital Customer	Medium	415	10132	Urban	Torrance	CA	90502	06037	   33.837971	 -118.293025	Los Angeles Region	Pacific Division	Y	Y	Neither	Hospital                                
N0025429	AIR METHODS - PARSONS	Unclassified				Rural	Parsons	KS	67357	20099	   37.345929	  -95.261617	Kansas Oklahoma Region	Southwest and Rocky Mountain Division	N	N	Neither	Air Ambulance                           
N003B6PMID	PIEDMONT COLUMBUS REGIONAL MIDTOWN HOSP	Hospital Customer	Medium	583	11941	Urban	Columbus	GA	31901	13215	   32.465313	  -84.980285	Georgia Region	Southeast and Caribbean Division	Y	Y	Both	Hospital                                
N001AM011	AIR METHODS TICONDEROGA	Unclassified				Rural	Ticonderoga	NY	12883	36031			Eastern New York Region	Northeast Division	N	N	Neither	Air Ambulance                           
N049T0096T	BROOKE ARMY MEDICAL CENTER	Hospital Out of Region		500		Urban	Jbsa Ft Sam Houston	TX	78234	48029	   29.460713	  -98.41856	Central and South Texas Region	Southwest and Rocky Mountain Division	Y	Y	Neither	Government                              
N053B1HOWD	HOWARD UNIVERSITY HOSPITAL CORP.	Hospital Customer	Medium	482	10016	Urban	Washington	DC	20060	11001	   38.916986	  -77.02189	National Capital and Greater Chesapeake Region	Central Atlantic Division	Y	Y	Neither	Hospital                                
N022CHL	CHILDREN'S HOSPITAL OF PHILADELPHIA	Hospital Customer	Medium	564	21019	Urban	Philadelphia	PA	19104	42101	   39.948522	  -75.19331	Southeastern Pennsylvania Region	Northeast Division	N	N	Neither	Hospital                                
N011B1BARN	BARNES-JEWISH HOSPITAL	External Blood Bank Customers	High	1431	38697	Urban	Saint Louis	MO	63110	29510	   38.634772	  -90.26323	Missouri Arkansas Region	Southwest and Rocky Mountain Division	Y	Y	Both	Hospital                                
N003B2GWMD	NORTHSIDE HOSPITAL - GWINNETT	Others	Medium	388	16398	Urban	Lawrenceville	GA	30045	13135	   33.964343	  -84.01492	Georgia Region	Southeast and Caribbean Division	Y	Y	Both	Hospital                                
N020B5STAH	SAINT ALPHONSUS MEDICAL GROUP NAMPA	Hospital Customer	Medium	106	3165	Urban	Nampa	ID	83687	16027	   43.609971	 -116.529134	Idaho Montana East Oregon Region	Pacific Division	N	N	RBC Only	Hospital                                
N0065003	AIR METHODS HEMET	Unclassified				Urban	Hemet	CA	92545	06065			Southern California Region	Pacific Division	N	N	Neither	Air Ambulance                           
N012AM001	AIR METHODS LUMBERTON	Unclassified				Rural	Lumberton	NC	28358	37155	   34.607857	  -78.934772	North Carolina Region	Southeast and Caribbean Division	N	N	Neither	Air Ambulance                           
N001B1AMCH	ALBANY MEDICAL CENTER HOSPITAL	External Blood Bank Customers	Medium	748	27589	Urban	Albany	NY	12208	36001	   42.653215	  -73.77388	Eastern New York Region	Northeast Division	Y	Y	Neither	Hospital                                
N038B7VERN	VERNON TOWNSHIP FIRE DEPARTMENT	Hospital Customer				NA	Mccordsville	IN	46055	18059			Indiana Region	North Central Division	N	N	Neither	Ground Ambulance                        
N084UCDAV	UC DAVIS MEDICAL CENTER	External Blood Bank Customers	Medium	646	22298	Urban	Sacramento	CA	95817	06067	   38.554353	 -121.45753	California Gold Country Region	Pacific Division	Y	Y	Both	Hospital                                
N022ATL	ATLANTICARE REG MED CTR-CITY CAMPUS	Hospital in Region	Medium	244	7976	Urban	Atlantic City	NJ	08401	34001	   39.357772	  -74.43393	New Jersey Region	Northeast Division	Y	Y	Neither	Hospital                                
N040B0ADVC	ADVOCATE CHRIST MEDICAL CENTER	Hospital Customer	High	802	21518	Urban	Oak Lawn	IL	60453	17031	   41.72122	  -87.73222	Illinois Region	North Central Division	Y	Y	Both	Hospital                                
N0075241	AIR METHODS-WESTFIELD	Hospital in Region				Urban	Westfield	MA	01420	25027			Massachusetts Region	Northeast Division	N	N	Neither	Air Ambulance                           
N020LVMCFH	MIKE OCALLAGHAN FEDERAL HOSPITAL	Hospital Customer		114		Urban	Nellis Afb	NV	89191	32003	   36.239523	 -115.025695	Utah Nevada Region	Southwest and Rocky Mountain Division	N	N	Neither	Government                              
N001AM012	AIR METHODS WALLKILL	Unclassified				Rural	Wallkill	NY	12589	36111			Eastern New York Region	Northeast Division	N	N	Neither	Air Ambulance                           
